text,label,split
"Công ty tư cách, thẩm quyền gì đòi người ta phải đến làm việc trực tiếp?? Nghệ sĩ thì phèn, cty thì ngu! Đâm đơn kiện VR đê, để cơ quan chức năng mời lên giải quyết",2,train
"Công ty tư cách, thẩm quyền gì đòi người ta phải đến làm việc trực tiếp?? Nghệ sĩ thì phèn, cty thì ngu! Đâm đơn kiện VR đê, để cơ quan chức năng mời lên giải quyết",1,train
"Lộ đoạn ghi âm Rách xin beat VR kìa ở đó mà làm việc công với chả tâm uy tín với danh dự , tự ái nhột rồi đăng bài làm việc để lùa gà với fan",0,train
"Lộ đoạn ghi âm Rách xin beat VR kìa ở đó mà làm việc công với chả tâm uy tín với danh dự , tự ái nhột rồi đăng bài làm việc để lùa gà với fan",1,train
Mày cút khỏ đất nước tao đi. Loại vô dụng,1,train
Mày cút khỏ đất nước tao đi. Loại vô dụng,2,test
Thằng ngu,2,train
Thằng ngu,1,train
Tử hình,1,train
Tử hình,0,train
đmm,2,train
đmm,1,train
