text,label,text_seg
cặc,1,cặc
đr hết thời cày rank bk còn ngợp,0,đr hết thời cày rank bk còn ngợp
Diễn viên hô ni hút mà ngại gì mấy khác kk,0,Diễn_viên hô ni_hút mà ngại gì mấy khác kk
Toàn bọn vô công rồi nghề ngồi sủa ăn lương tháng chứ vinh quang gì? Bản thân hiểu rõ hơn ai hết nhưng vì đồng tiền bát gạo nên vẫn cứ đi cắn sủa vậy đó. Tôi chỉ quan tâm sự thật chứ mấy loại này riết chán chẳng thèm phản biện 😩,2,Toàn bọn vô_công rồi nghề ngồi sủa ăn lương tháng chứ vinh_quang gì ? Bản_thân hiểu rõ hơn ai hết nhưng vì đồng_tiền bát gạo nên vẫn cứ đi cắn_sủa vậy đó . Tôi chỉ quan_tâm_sự_thật chứ mấy loại này riết chán chẳng thèm phản_biện 😩
lên kim cương bố ỉa vào mồm mày với cái lối lên đồ 10 game như 1 này :)))) bao giờ live rank kc thì tag bố m vào nhé :))),1,lên kim_cương bố ỉa vào mồm_mày với cái lối lên đồ 10 game như 1 này :)) bao_giờ live rank kc thì tag bố m vào nhé :))
"Con bà chúng nó làm lòng vòng để tìm cách tham ô tham nhũng, chứ xử lý nguồn gốc gây ô nhiễm chuyển xử lý dòng chảy nước thải không cho xả thải ra sông nữa là nước nó sạch ngay",1,"Con bà chúng_nó làm lòng_vòng để tìm cách tham_ô tham_nhũng , chứ xử_lý nguồn_gốc gây ô_nhiễm chuyển xử_lý dòng_chảy nước_thải không cho xả thải ra sông nữa là nước nó sạch ngay"
why cái lồn,1,why cái lồn
Su Quỳnh chéo avt hộ vs ạ,0,Su Quỳnh_chéo avt hộ vs ạ
Phàm :)) vlon thanh niên,1,Phàm :))_vlon thanh_niên
Bắt được mấy thằng trộm xe. Nên chặt tay nó,1,Bắt được mấy thằng trộm xe . Nên chặt tay nó
T dang xem sec à,0,T dang xem sec à
Đm máy thằng hèn,2,Đm máy thằng hèn
Chúng mày nghĩ sau vậy uống thuốc ngủ đi nhé KKK,1,Chúng_mày nghĩ sau vậy uống thuốc ngủ đi nhé KK
"Phát ngôn ngu vãi, tao đi ị ở bến xe gia lâm còn phải đóng thuế 5k một lượt kia mà nhà vs có gia lol gì âu, bọn nó chịch nhau còn phải đóng thuế vì dùng bao con sâu hay victoria kia...",1,"Phát_ngôn ngu_vãi , tao đi ị ở bến_xe gia_lâm còn phải đóng thuế 5 k một lượt kia mà nhà_vs có gia_lol gì âu , bọn nó chịch nhau còn phải đóng thuế vì dùng bao con sâu hay victoria kia .."
Chúng nó dàn rựng để trộm xe hai thằng đứng đấy để giả vờ hỏi chuyện,0,Chúng_nó dàn_rựng để trộm xe hai thằng đứng đấy để giả_vờ hỏi chuyện
Bộ tóc huyền thoại ❤,0,Bộ tóc huyền_thoại ❤
Nhà bao việc còn bắt đi đóng MV :((,0,Nhà bao việc còn bắt đi đóng MV : ( (
"Hiệp 1 còn vào được, chứ giờ nó khóa rồi, còn lại toàn fake cả",0,"Hiệp 1 còn vào được , chứ giờ nó khóa rồi , còn lại toàn fake cả"
Cho con 1 tỉ đi cô,0,Cho con 1 tỉ đi cô
Mày nghĩ xl là hết à,0,Mày nghĩ xl là hết à
"người ta lên tiếng cũng nói 1-2 lần, nói trên báo chính thống, chứ đâu có lên báo mạng, đi cmt dạo khắp nơi hay kể lể đủ thứ, cũng k có kiểu ăn tiền mà nói k, hay đáng nói chuyện này bẻ chuyện khác rồi dọa phốt",0,"người ta lên_tiếng cũng nói 1-2 lần , nói trên báo chính_thống , chứ đâu có lên báo_mạng , đi cmt_dạo khắp_nơi hay kể_lể đủ thứ , cũng k có kiểu ăn_tiền mà nói k , hay đáng nói_chuyện này bẻ chuyện khác rồi dọa phốt"
"Ý chúng nó nói ở đây là nên im lặng và tìm hiểu rõ nguyên nhân , như cư dân mạng ở miền bắc , miền nam , và ở nước ngoài chắc phải bay tận về hà tĩnh tìm hiểu rồi mới được đăng stt chắc :) đúng là cái chế độ này càng ngày càng thối nát, cơ quan báo chí tuyên truyền tung hô toàn cái đéo gì ấy đm chắc ko nói gì là ỉm đi vụ formosa luôn đấy",1,"Ý chúng_nó nói ở đây là nên im_lặng và tìm_hiểu rõ nguyên_nhân , như cư_dân mạng ở miền bắc , miền nam , và ở nước_ngoài chắc phải bay tận về hà_tĩnh tìm_hiểu rồi mới được đăng_stt chắc :) đúng là cái chế_độ này càng_ngày_càng thối_nát , cơ_quan báo_chí tuyên_truyền tung_hô toàn cái đéo gì ấy đm chắc ko nói gì là ỉm đi vụ formosa luôn đấy"
Bị đấm gãy cmn răng,1,Bị đấm_gãy cmn răng
"Người khó khăn, người nghèo bao giờ cũng bị thiệt, nếu bắt tụi nó được, chắc là chỉ vài năm tù, còn người nghèo họ làm, tích góp hơn 10 năm mới có chiếc xe để mưu sinh, vậy mà luật pháp phạt họ quá nhẹ,hy vọng sẽ có bộ luật phạt cho kẻ trộm cắp thật nặng, để dân được bình an.",0,"Người khó_khăn , người nghèo bao_giờ cũng bị thiệt , nếu bắt tụi nó được , chắc là chỉ vài năm tù , còn người nghèo họ làm , tích_góp hơn 10 năm mới có chiếc xe để mưu_sinh , vậy_mà luật_pháp phạt họ quá nhẹ , hy_vọng sẽ có bộ_luật phạt cho kẻ_trộm_cắp thật nặng , để dân được bình_an ."
Ngu thì thua,1,Ngu thì thua
Cái thằng khỉ đầu chó này nữa,2,Cái thằng khỉ đầu chó này nữa
Thoi di thang khung oi,2,Thoi di_thang khung oi
